"89","Hungary","10,649","10,372","10,281","10,147","10,058","9,992","9,898","9,338","9,825","9,984","10,153","10,337","10,532","10,711"
"90","Iceland","241","255","268","281","297","309","319","143","158","176","192","204","218","228"
"91","India","759,612","838,159","920,585","1,006,300","1,090,973","1,173,108","1,251,696","369,880","404,268","445,393","494,964","553,889","618,923","684,888"
"92","Indonesia","166,119","181,770","197,764","213,829","228,896","242,968","255,759","82,978","90,255","100,146","110,754","122,292","135,272","150,467"
"93","Iran","48,619","58,100","64,217","68,632","72,283","76,923","81,824","16,357","18,739","21,600","25,040","28,994","33,467","39,709"
"94","Iraq","15,694","18,140","19,564","22,679","26,076","29,672","33,310","5,163","5,903","6,822","7,971","9,414","11,118","13,233"
"95","Ireland","3,540","3,508","3,614","3,822","4,199","4,623","4,892","2,963","2,916","2,832","2,876","2,950","3,177","3,401"
"96","Isle of Man (UK)","64","69","72","76","80","84","88","55","51","48","49","53","59","64"
"97","Israel","4,068","4,478","5,353","6,115","6,743","7,354","7,935","1,286","1,772","2,141","2,578","2,903","3,354","3,737"
"98","Italy","56,718","56,713","57,295","57,784","59,038","60,749","61,855","47,105","48,633","50,198","51,987","53,661","55,572","56,451"
"99","Ivory Coast","10,332","12,491","14,846","16,885","18,921","21,059","23,295","2,860","3,164","3,576","4,356","5,579","7,031","8,593"
"100","Jamaica","2,318","2,347","2,469","2,616","2,737","2,847","2,950","1,385","1,489","1,632","1,777","1,944","2,105","2,229"
"101","Japan","120,754","123,537","125,327","126,776","127,715","127,579","126,920","83,805","89,815","94,092","98,883","104,345","111,573","116,807"
"102","Jersey (UK)","80","84","85","87","88","93","97","57","60","63","66","69","72","76"
"103","Jordan","2,630","3,267","4,176","4,688","5,245","6,407","6,623","561","687","849","1,061","1,503","1,803","2,163"
"104","Kazakhstan","15,999","16,775","16,390","15,687","16,123","17,085","18,157","6,693","7,977","9,982","11,902","13,106","14,157","15,000"
"105","Kenya","19,762","23,361","27,163","30,606","35,246","40,843","45,925","6,121","7,034","8,157","9,549","11,247","13,433","16,331"
"106","Kiribati","62","71","77","85","93","99","106","33","37","41","45","49","53","58"
"107","Kuwait","1,733","2,131","1,664","1,972","2,257","2,543","2,789","145","187","292","476","748","1,007","1,370"
"108","Kyrgyzstan","4,006","4,382","4,532","4,851","5,146","5,509","5,913","1,739","1,901","2,171","2,573","2,964","3,301","3,623"
"109","Laos","3,657","4,210","4,846","5,397","5,836","6,368","6,912","1,886","2,077","2,309","2,565","2,845","3,161","3,293"
"110","Latvia","2,606","2,664","2,488","2,376","2,290","2,218","2,152","1,936","2,002","2,115","2,254","2,361","2,462","2,525"
